Order_ID,Postal_Code,Longitude,Latitude
1,100082,103.8079006,1.2739
2,100108,103.8102982,1.281
3,101103,103.8133534,1.2807
4,109344,103.8047544,1.2805
5,109691,103.8030238,1.2822
6,109918,103.8112204,1.2682
7,110026,103.7752098,1.2859
8,117396,103.781566,1.2827
9,117440,103.7990648,1.2748
10,117471,103.7771942,1.2887
11,117492,103.7858725,1.2808
12,117522,103.7799676,1.286
13,117543,103.7803449,1.2968
14,117603,103.7751229,1.2956
15,117684,103.7795434,1.2885
16,117829,103.7904831,1.2772
17,117838,103.7904123,1.2777
18,117864,103.7796322,1.2844
19,117958,103.79148,1.2801
20,118028,103.7909477,1.2792
21,118056,103.7909366,1.2786
22,118201,103.789297,1.2778
23,118206,103.7895399,1.278
24,118226,103.7875766,1.2898
25,118227,103.7872316,1.2905
26,118231,103.7870186,1.2919
27,118240,103.7866266,1.2924
28,118253,103.7882701,1.2917
29,118261,103.7913371,1.288
30,118431,103.7796244,1.2917
31,118517,103.7948932,1.275
32,118582,103.7850281,1.279
33,118633,103.7804241,1.2869
34,118643,103.7797917,1.2875
35,118693,103.7755541,1.2894
36,118728,103.7711129,1.291
37,118782,103.7683876,1.2924
38,118843,103.7862513,1.2822
39,118851,103.7858297,1.2827
40,118858,103.7856697,1.283
41,118878,103.7849458,1.2821
42,119007,103.7928226,1.2866
43,119077,103.779774,1.2955
44,119192,103.8020243,1.2675
45,119260,103.7712216,1.295
46,119293,103.7912567,1.2773
47,119366,103.7899979,1.2788
48,119373,103.7895455,1.2787
49,119540,103.7909245,1.2797
50,119595,103.7782987,1.2914
51,119611,103.7735079,1.2917
52,119699,103.7883145,1.2792
53,119784,103.7890477,1.279
54,119963,103.8013994,1.2741
55,120305,103.766014,1.3221
56,120323,103.7670901,1.3158
57,120502,103.759128,1.3119
58,120720,103.763751,1.3025
59,126799,103.7646007,1.2989
60,126880,103.7635953,1.3072
61,126884,103.7633352,1.3071
62,126891,103.753464,1.312
63,127001,103.755484,1.3164
64,127186,103.7662722,1.2948
65,127272,103.7573765,1.3147
66,127324,103.76668,1.2942
67,127365,103.7661223,1.2958
68,127370,103.7658102,1.3029
69,127398,103.7582311,1.312
70,127399,103.7583661,1.3124
71,127451,103.7683937,1.2946
72,127466,103.7535681,1.3164
73,127576,103.7582839,1.3134
74,127594,103.7589138,1.3133
75,127647,103.7535279,1.318
76,127735,103.7579988,1.3126
77,127741,103.7581785,1.3126
78,127828,103.7560601,1.3146
79,127884,103.7564162,1.3125
80,127896,103.7565675,1.3149
81,127962,103.7565993,1.3166
82,128035,103.765644,1.2986
83,128160,103.7633659,1.3087
84,128196,103.765047,1.309
85,128248,103.7563822,1.308
86,128262,103.7562226,1.3082
87,128386,103.7524301,1.3114
88,128389,103.7537419,1.3126
89,128557,103.7661125,1.3056
90,128575,103.7662935,1.3071
91,128613,103.7615932,1.3085
92,128716,103.7635271,1.3074
93,128717,103.7632211,1.3081
94,128743,103.7640098,1.3083
95,128810,103.7616141,1.3185
96,129004,103.7560215,1.3207
97,129102,103.7586164,1.322
98,129177,103.7572173,1.3227
99,129258,103.758482,1.3188
100,129401,103.7572574,1.3206
101,129423,103.7562383,1.3197
102,129748,103.7685519,1.2937
103,129753,103.7687722,1.293
104,129794,103.7683647,1.2934
105,130028,103.7817797,1.3045
106,138674,103.7873541,1.3084
107,138701,103.7941863,1.2976
108,138883,103.793,1.2986
109,138889,103.7935275,1.2996
110,139151,103.7765952,1.3043
111,139248,103.7857623,1.3046
112,139451,103.7773039,1.3073
113,139464,103.775649,1.3051
114,139651,103.7774398,1.3109
115,139844,103.7770302,1.3059
116,140086,103.7993498,1.3044
117,140151,103.8030418,1.2946
118,140183,103.8048623,1.2957
119,141087,103.8097599,1.2957
120,141156,103.8042508,1.2927
121,142083,103.8011373,1.3048
122,148951,103.8011372,1.2975
123,149149,103.8069594,1.2918
124,149604,103.7972945,1.3026
125,149726,103.8051483,1.297
126,149869,103.8050217,1.2909
127,150069,103.8163748,1.287
128,150163,103.8169395,1.2839
129,151010,103.8160882,1.2849
130,158741,103.8183315,1.2908
131,158792,103.8170583,1.2893
132,159029,103.8228367,1.2924
133,159105,103.8111239,1.2916
134,159721,103.8050774,1.2856
135,159836,103.8144529,1.2833
136,159883,103.8173718,1.2928
137,159931,103.8131601,1.2916
138,160020,103.8290403,1.2881
139,160057,103.8334761,1.2848
140,161117,103.8270184,1.282
141,162026,103.8260599,1.2831
142,163018,103.8325924,1.2857
143,164028,103.8277827,1.2882
144,168653,103.829995,1.2828
145,168937,103.8383462,1.2796
146,169038,103.8353713,1.2835
147,169075,103.8342068,1.2889
148,169253,103.8293245,1.2847
149,169420,103.8352871,1.291
150,169568,103.8277875,1.2871
151,169608,103.8339994,1.2785
152,169628,103.8374721,1.2892
153,169645,103.8278677,1.2892
154,169758,103.8351803,1.2835
155,169831,103.8283699,1.2917
156,178881,103.8455596,1.296
157,179038,103.8440825,1.2923
158,180261,103.851967,1.2988
159,188386,103.8547798,1.2962
160,188387,103.8547859,1.2961
161,188427,103.8552479,1.3009
162,188504,103.8530319,1.3029
163,188544,103.8548801,1.3009
164,188671,103.8501779,1.2999
165,189035,103.8565667,1.2981
166,189197,103.8594579,1.3004
167,189208,103.8592096,1.3005
168,189233,103.8589929,1.301
169,189561,103.8506674,1.2969
170,189649,103.8527007,1.3022
171,189684,103.855925,1.2964
172,189703,103.8569492,1.2978
173,189766,103.8561773,1.2958
174,18982,103.8542974,1.2791
175,189850,103.8588794,1.3007
176,189859,103.8586292,1.301
177,190463,103.8619168,1.3051
178,198371,103.859833,1.3051
179,198481,103.8606593,1.3014
180,198674,103.8584796,1.3021
181,198887,103.8596414,1.3022
182,198897,103.8598971,1.3018
183,199143,103.8582791,1.3028
184,199201,103.8592926,1.3037
185,199205,103.859238,1.3038
186,199432,103.8601749,1.3011
187,199451,103.8596622,1.3018
188,199466,103.859272,1.3018
189,199545,103.8600583,1.3007
190,199554,103.8618656,1.3003
191,199582,103.8634865,1.3017
192,199734,103.8595499,1.3005
193,199764,103.8591188,1.3011
194,199768,103.8590767,1.3011
195,199812,103.8585701,1.3017
196,199824,103.8581996,1.3025
197,199898,103.8611969,1.3017
198,199948,103.8602681,1.3034
199,200029,103.8571215,1.3057
200,200639,103.8552036,1.3078
201,207321,103.8533251,1.3078
202,207323,103.8533679,1.3078
203,207408,103.8533402,1.3062
204,207484,103.8527141,1.3064
205,207485,103.8525359,1.3062
206,207522,103.8582662,1.3091
207,207530,103.8584145,1.3094
208,207535,103.8587991,1.3099
209,207540,103.858946,1.3101
210,207754,103.8580187,1.3077
211,207841,103.8588612,1.3124
212,207962,103.8538965,1.309
213,208006,103.8554392,1.3084
214,208024,103.8558456,1.3078
215,208028,103.8559502,1.3077
216,208313,103.8536323,1.304
217,208450,103.8545045,1.3099
218,208559,103.861715,1.3103
219,208576,103.8625329,1.3102
